风儿vento电视,#genre#
CCTV-1综合,http://106.53.99.30/tv/hot.php?id=cctv1
CCTV-1综合,https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8?
CCTV-1综合,http://106.53.99.30/tv/api.php?id=cctv1
CCTV-2财经,http://106.53.99.30/tv/hot.php?id=cctv2
CCTV-3综艺,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-4中文国际,http://106.53.99.30/tv/hot.php?id=cctv4
CCTV-4中文国际 美洲,http://106.53.99.30/tv/hot.php?id=cctv4m
CCTV-4中文国际 欧洲,http://106.53.99.30/tv/hot.php?id=cctv4o
CCTV-5体育,http://106.53.99.30/tv/hot.php?id=cctv5
CCTV-5+体育赛事,http://106.53.99.30/tv/hot.php?id=cctv5p
CCTV-6电影,http://106.53.99.30/tv/hot.php?id=cctv6
CCTV-7国防军事,http://106.53.99.30/tv/hot.php?id=cctv7
CCTV-8电视剧,http://106.53.99.30/tv/hot.php?id=cctv8
CCTV-9纪录,http://106.53.99.30/tv/hot.php?id=cctv9
CCTV-10科教,http://106.53.99.30/tv/hot.php?id=cctv10
CCTV-11戏曲,http://106.53.99.30/tv/hot.php?id=cctv11
CCTV-12社会与法,http://106.53.99.30/tv/hot.php?id=cctv12
CCTV-13新闻,http://106.53.99.30/tv/hot.php?id=cctv13
CCTV-13新闻,https://zby.130519.xyz/PLTV/11/224/3221226128/index.m3u8?
CCTV-13新闻,http://106.53.99.30/tv/api.php?id=cctv13
CCTV-13新闻,http://106.53.99.30/tv/api.php?id=cctv13-1
CCTV-14少儿,http://106.53.99.30/tv/hot.php?id=cctv14
CCTV-15音乐,http://106.53.99.30/tv/hot.php?id=cctv15
CCTV-16奥林匹克,http://106.53.99.30/tv/hot.php?id=cctv16
CCTV-17农业农村,http://106.53.99.30/tv/hot.php?id=cctv17
CCTV-1综合,https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8?
CCTV-1综合,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8?
CCTV-1综合,https://zby.130519.xyz/PLTV/11/224/3221225723/index.m3u8?
CCTV-1综合,https://zby.130519.xyz/PLTV/11/224/3221225770/index.m3u8?
CCTV-2财经,https://zby.130519.xyz/PLTV/11/224/3221226122/index.m3u8?
CCTV-3综艺,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8?
CCTV-3综艺,https://zby.130519.xyz/PLTV/11/224/3221226165/index.m3u8?
CCTV-4中文国际,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8?
CCTV-5体育,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8?
CCTV-5体育,https://zby.130519.xyz/PLTV/11/224/3221226146/index.m3u8?
CCTV-6电影,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8?
CCTV-6电影,https://zby.130519.xyz/PLTV/11/224/3221226148/index.m3u8?
CCTV-7国防军事,https://zby.130519.xyz/PLTV/11/224/3221225701/index.m3u8?
CCTV-7国防军事,https://zby.130519.xyz/PLTV/11/224/3221226143/index.m3u8?
CCTV-7国防军事,https://zby.130519.xyz/PLTV/11/224/3221226137/index.m3u8?
